,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence
1,0.00597,Throw A Fit,2kGxRa3ut2AMvo1fdoUeuK,2018-07-27,Tinashe,0.888,0.586,No Feature,0,-6.745,150.051,7D8aQaRzoi9Qzz5yerVK5b,Throw A Fit,0.401
2,0.15,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.742,0.595,ScHoolboy Q,9,-7.51,101.013,3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),0.431
3,0.571,Like I Used To,3agSXLYruoxkcf3U6zPTN4,2018-07-13,Tinashe,0.717,0.599,No Feature,11,-6.156,159.78,3fMKnwiByu9yfeD5ISn9Et,Like I Used To,0.385
4,0.196,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.748,0.658,Offset,7,-4.656,143.954,3doVAxeH3SgWtlRMqR4eLi,No Drama,0.448
7,0.678,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.566,0.669,Future,5,-5.772,102.582,17uivGWu6kfAvH6UgR7j4x,Faded Love,0.698
8,0.298,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.767,0.669,Ty Dolla $ign,1,-4.508,99.933,6XddLa3bdlJJQC6sImufdH,Me So Bad,0.72
11,0.386,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.798,0.532,No Feature,7,-4.329,96.992,1kXmApTm4wonqscYBoLwxj,All Hands on Deck,0.372
12,0.552,Company,734QluBStyfeKmcRgQUDO7,2016-09-16,Tinashe,0.897,0.498,No Feature,9,-5.0,119.991,1608cOZINzEjaREvqEaDBd,Company,0.96
14,0.493,All Hands On Deck REMIX,4lP8vfD5YomYnhEvavof6R,2015-02-24,Tinashe,0.807,0.53,Iggy Azalea,7,-4.236,97.007,5rX9fqEGsHnQeEEsc1Cc3J,All Hands On Deck REMIX,0.429
15,0.0272,Player,68spG6Jww5Ya5tp060NNyl,2015-10-02,Tinashe,0.721,0.69,Chris Brown,4,-5.93,106.042,6JdMhQybpCiM754NZDw2pm,Player,0.292
17,0.0577,Flame,1Pp4Zylfj1jfSbTAGlb68P,2017-03-16,Tinashe,0.631,0.845,No Feature,5,-3.143,81.995,4lH5AKFeldnkq8wRikIqWP,Flame,0.53
18,0.0307,Party Favors,6euw4OOlKt20SAPSz4xKhY,2015-09-18,Tinashe,0.654,0.492,Young Thug,8,-7.777,94.992,4XrKWBHDm587nYp6Io33oo,Party Favors,0.185
20,0.319,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.722,0.656,No Feature,1,-4.539,86.496,7rXfgg6jbK89XINlgcB8cu,Ooh La La,0.582
21,0.0148,Superlove,6hXXlsQi7USKqmeg8ytALG,2016-07-15,Tinashe,0.774,0.635,No Feature,5,-4.991,134.989,1uTXtV2r7DSRnMGKh3HxGi,Superlove,0.438
22,0.684,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.939,0.455,Little Dragon,11,-7.394,118.714,4uOopYeRmPFd3taXfzEGP5,Stuck With Me,0.458
23,0.302,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.764,0.671,Ty Dolla $ign,1,-4.509,99.946,57VUtsHvIKGbBlNmxfqDox,Me So Bad,0.704
24,0.133,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.72,0.408,No Feature,3,-7.669,130.259,4RSYgNxty83tnXcexSdgVA,Cold Sweat,0.289
25,0.0419,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.709,0.538,No Feature,5,-5.821,113.945,5mhIx9uFL53Jk8X8XfLG6F,Sacrifices,0.385
26,0.269,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.384,0.45,A$AP Rocky,6,-10.485,89.598,6phKkVuSzTNEriX3uciCb5,Pretend,0.0874
27,0.0517,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.663,0.623,No Feature,8,-5.935,124.99,5tnNHmykSmF7Nam6aenBVf,No Contest,0.277
28,0.63,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.903,0.378,No Feature,1,-7.05,119.994,0VHDCLayBQCtrFRLaaHJSi,Company,0.867
31,0.495,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.597,0.467,No Feature,5,-9.542,124.824,1JL5mxrlYVILxf8TmqRbMP,Lucid Dreaming,0.224
32,0.178,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.694,0.495,No Feature,1,-4.149,133.936,74RjqevhxutV5yZdE8bFX3,He Don't Want It,0.422
34,0.0875,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.66,0.409,No Feature,8,-8.8,95.05,5DwsWlLBqnnBo01TNYTw4G,Party Favors,0.14
35,0.00522,Ride Of Your Life,3BOwGjxvQVQzbSroN2sXW1,2016-03-09,Tinashe,0.713,0.428,No Feature,9,-9.843,86.485,2JTaZjHNULImGUfECwTELE,Ride Of Your Life,0.413
36,0.416,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.68,0.286,No Feature,7,-11.933,111.94,6fFZIv3BSiKjgqTisF2Mn7,C'est La Vie,0.339
37,0.00747,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.591,0.492,No Feature,11,-10.568,159.908,1y4qUmdo0DTgKC5OME5zie,Aquarius,0.209
38,0.194,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.653,0.569,No Feature,11,-7.024,129.989,0DqKMbPXhUIXcgDOVmohiM,Feels Like Vegas,0.402
39,0.629,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.42,0.883,No Feature,2,-4.967,146.885,6LrGc6oPYNMzmz8VOwyN6C,Joyride,0.231
40,0.883,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.339,0.413,No Feature,5,-4.983,146.254,7oh4w9MTAb25HD7Fo52mO8,Fires And Flames,0.391
42,0.00679,Throw A Fit,6MNDIO74gSWOLYsyWWL7ku,2018-07-26,Tinashe,0.876,0.622,No Feature,5,-6.748,150.048,3aau8PbMnxhnJVyCodCFw0,Throw A Fit,0.418
44,0.269,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.475,0.503,Devonte Hynes,11,-7.46,126.938,4teaV0vz7oCWYyPHLMKLfQ,Bet (feat. Devonté Hynes),0.0746
45,0.0212,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.458,0.387,No Feature,8,-7.827,149.903,0J6I0Zgrh5LkwgUx9zJ21h,Salt,0.13
46,0.0223,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.739,0.515,No Feature,0,-8.637,139.962,0YNnj5LVDkp3pU8uhP9Dt6,Ain't Good For Ya (Interlude),0.529
48,0.00521,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.732,0.457,No Feature,9,-8.769,86.517,6yNdtBYlKWugO7ageKahDK,Ride Of Your Life,0.41
49,0.00388,Flame (Kaskade Remix),19a2gZ9s4GQxMwI4N4GlFR,2017-05-19,Tinashe,0.414,0.72,Kaskade,2,-6.128,167.859,1ru4aAQK7UN0wK2JEjWMsm,Flame - Kaskade Remix,0.34
52,0.484,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.63,0.515,No Feature,8,-8.45,130.031,4EabiixKs1IXXRyFha7ODG,Soul Glitch,0.338
53,0.0116,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.632,0.456,Future,9,-7.98,154.601,4oOzx2fEmOpPWb9LK2ReX0,How Many Times,0.302
54,0.498,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.484,0.271,No Feature,1,-14.03,67.03,1hyeUTrRd000AXLPDxV4q2,Bated Breath,0.0634
