,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence
0,0.907,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.547,0.257,No Feature,0.0,-12.358,75.752,7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,0.169
1,0.313,Power To The People - The Hits,7mXg4fLJHmmnjAahH15Wsj,2010-10-04,John Lennon,0.669,0.511,No Feature,0.0,-11.016,82.865,4NjyI3qjCRv3XZXgcISc8E,Watching The Wheels - 2010 Digital Remaster,0.398
2,0.29,Rock 'N' Roll,4D5tTcz72CXGPtzTabLTDY,1975-02-17,John Lennon,0.632,0.556,No Feature,9.0,-10.138,104.996,3ntrdR24dLkKrzSGRv1FlH,Stand By Me - 2010 - Remaster,0.633
3,0.378,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,1980-11-17,John Lennon,0.588,0.656,No Feature,3.0,-6.373,79.701,0GGxVTb0UwDwdaKNjBdCn3,Woman - 2010 - Remaster,0.746
4,0.299,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.587,0.842,No Feature,1.0,-10.463,85.297,2pNwQBjJppt8v3sZojH1aj,Oh Yoko! - Remastered 2010,0.794
5,0.292,Mind Games,2GoiwFkRtErx0CHn6zaFJu,1973-10-29,John Lennon,0.409,0.833,No Feature,4.0,-9.994,132.233,3QmUhaY5KZiOuaUH8H71LG,Mind Games - 2010 - Remaster,0.428
6,0.877,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.489,0.389,The Plastic Ono Band,4.0,-11.653,131.366,3D9iV6cYkYJRAPFO6DRKIE,Jealous Guy - Remastered 2010,0.254
7,0.538,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.684,0.21,No Feature,1.0,-18.204,83.383,4bN43jYf41eIjJZ3UXQpuA,Hold On - Remastered 2010,0.681
8,0.728,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.484,0.165,No Feature,7.0,-18.568,159.162,1yKQBy7olMIqRpziyAzf8c,Working Class Hero - Remastered 2010 / Lennon Legend Version,0.193
9,0.0744,Walls And Bridges,3n1j9GslH8h0jIx7NRUIX4,1974-09-26,John Lennon,0.406,0.597,No Feature,0.0,-11.745,115.474,4ZVWvCUwsOnIGmJMj71RkG,#9 Dream - 2010 - Remaster,0.478
10,0.000899,Gimme Some Truth,1Og869cgT2qBmDw84KeUvk,2010-10-05,John Lennon,0.624,0.931,No Feature,11.0,-9.988,119.887,2E9wKgL8NN7Tvydqcjoh7v,Instant Karma! (We All Shine On) - 2010 - Remaster,0.14
11,0.733,Double Fantasy,1NWA2fPLUAW5df7UGI5thp,1980-11-17,John Lennon,0.574,0.469,No Feature,2.0,-11.53,111.378,5URfZHMlUWTWxPvvSBWcPk,Beautiful Boy (Darling Boy) - 2010 Digital Remaster,0.435
12,0.231,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.64,0.269,No Feature,4.0,-13.435,112.801,7kipZd4tWx6Mu8kBgB2Z2r,God - Remastered 2010,0.178
13,0.013,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.532,0.347,No Feature,0.0,-13.696,135.935,43Ud1IajwtBvw6ONj6aK2Q,Mother - Remastered 2010,0.426
14,0.909,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.571,0.0788,No Feature,2.0,-15.284,115.724,3sRQJYlA7P4oIRUwy8Im9r,Isolation - Remastered 2010,0.254
15,0.985,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.529,0.104,No Feature,9.0,-19.669,135.235,0gDyuX5rdHulQTUyrIdSR1,Oh My Love - Remastered 2010,0.183
16,0.537,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,1980-11-17,John Lennon,0.644,0.436,No Feature,2.0,-10.14,111.874,752R2h0nzGsAacpFoXRKNB,Beautiful Boy (Darling Boy) - 2010 Remix,0.632
17,0.106,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.561,0.783,No Feature,5.0,-8.878,133.518,3d2oiHuHm3rftzRDPeL5LU,Gimme Some Truth - Remastered 2010,0.768
18,0.887,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.613,0.0609,No Feature,2.0,-21.297,80.988,0SEmf7XdvzCmmEjtpZKIKl,Love - Remastered 2010,0.156
19,0.531,Walls And Bridges,3n1j9GslH8h0jIx7NRUIX4,1974-09-26,John Lennon,0.574,0.853,No Feature,2.0,-9.157,126.313,49nBXQzYNyjoBmUda3ezMf,Whatever Gets You Thru The Night - 2010 - Remaster,0.755
20,0.193,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.545,0.608,No Feature,0.0,-9.372,165.617,5CG4RXjli90Zd1KDalPqeK,Crippled Inside - Remastered 2010,0.681
21,0.177,Milk And Honey,1HRCspKjuNI3bGzZgvFU3y,1984-01-27,John Lennon,0.712,0.936,No Feature,2.0,-4.246,118.425,31QuJZfFiMk1uOawow8ejS,Nobody Told Me - 2010 - Remaster,0.917
22,0.301,Double Fantasy,1NWA2fPLUAW5df7UGI5thp,1980-11-17,John Lennon,0.701,0.79,No Feature,9.0,-6.16,99.104,7tqQI7nmRAqX0g8bIYDXmF,(Just Like) Starting Over - 2010 Digital Remaster,0.421
23,0.319,Power To The People - The Hits,7mXg4fLJHmmnjAahH15Wsj,2010-10-04,John Lennon,0.328,0.607,The Harlem Community Choir,2.0,-11.076,146.539,3zJw3rugfpVrmBeDDnUYzy,Happy Xmas (War Is Over) - Remastered,0.395
24,0.408,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,1980-11-17,John Lennon,0.607,0.612,No Feature,0.0,-8.666,82.933,4fKhRRYn7F5shZItjJkPJU,Watching The Wheels - 2010 - Remaster,0.272
25,0.301,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,1980-11-17,John Lennon,0.701,0.79,No Feature,9.0,-6.16,99.104,5y0YreEOnQiKFAnCrcFIXz,(Just Like) Starting Over - 2010 - Remaster,0.421
27,0.859,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.484,0.0628,No Feature,6.0,-21.323,148.063,2yDEE5r9aIbSEWEgzfoFGu,Look At Me - Remastered 2010,0.347
28,0.0217,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.576,0.672,No Feature,7.0,-11.526,181.116,1EYzr2S8PJmqUsRMkX3cSP,I Found Out - Remastered 2010,0.507
29,0.0494,Imagine,0xzaemKucrJpYhyl7TltAk,1971-09-09,John Lennon,0.585,0.517,No Feature,9.0,-10.269,131.412,7xsr2OppItxPB4whucYr2G,How Do You Sleep? - Remastered 2010,0.714
30,0.408,Double Fantasy,1NWA2fPLUAW5df7UGI5thp,1980-11-17,John Lennon,0.607,0.612,No Feature,0.0,-8.666,82.933,26Kw6zBo3Uy98q5LTlFfVJ,Watching The Wheels - 2010 Digital Remaster,0.272
31,0.559,Power To The People - The Hits,7mXg4fLJHmmnjAahH15Wsj,2010-10-04,John Lennon,0.573,0.788,No Feature,2.0,-11.261,126.39,4eQPPN2uwGYd7CCRZY6lyt,Whatever Gets You Thru The Night - Remastered 2010,0.772
34,0.34,Mind Games,2GoiwFkRtErx0CHn6zaFJu,1973-10-29,John Lennon,0.508,0.544,No Feature,7.0,-8.311,146.082,2gVfoOOLlCPOYIQZFIwb97,Out The Blue - 2010 - Remaster,0.366
35,0.0254,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.812,0.663,No Feature,2.0,-10.843,89.427,4IJovoHQkKgwmH9SzAKcB8,Remember - Remastered 2010,0.182
36,0.313,Gimme Some Truth,1Og869cgT2qBmDw84KeUvk,2010-10-05,John Lennon,0.681,0.709,No Feature,9.0,-8.541,99.14,3zx23Q4bcTPOHzrQLMKjsj,(Just Like) Starting Over - 2010 - Remaster,0.412
37,0.0126,Plastic Ono Band,0DFYbYCcHCEJPcN1hODG6K,1970-12-11,John Lennon,0.469,0.689,No Feature,4.0,-10.527,156.18,3ReOV0SALd6mcz8SCSZLGV,Well Well Well - Remastered 2010,0.527
