,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence,rank,percentile
0,0.47,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,2015-09-18,Mac Miller,0.843,0.435,Miguel,8,-8.442,120.058,6GnhWMhgJb7uyiiPEiEkDA,Weekend (feat. Miguel),0.19,1,19
1,0.0529,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,2016-05-20,Ariana Grande,0.662,0.602,No Feature,4,-5.369,133.969,7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,0.29,2,19
2,0.569,Liberated,18fTRuJJDlbhrl2SREyuJA,2018-06-08,DeJ Loaf,0.739,0.605,Leon Bridges,10,-3.632,127.0,5OQByVDbs9788HBRIBqgNW,Liberated,0.623,3,19
3,0.0155,A Moment Apart,3VzsvmhnUb9OZ59bq2aoNZ,2017-09-08,ODESZA,0.566,0.587,Leon Bridges,6,-5.96,82.046,4YaNLEPw3MrIgkGOkBrAh2,Across The Room (feat. Leon Bridges),0.246,4,19
4,0.0626,Caracal (Deluxe),08ipn1MH7xqgoqhUbtvCTy,2015-09-25,Disclosure,0.704,0.628,Lorde,10,-7.882,92.005,7nRmfGNhHKEEu5o8yFXLXt,Magnets,0.654,5,19
5,0.856,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,2015-11-13,Justin Bieber,0.607,0.376,No Feature,4,-9.954,102.541,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,0.545,6,18
6,0.217,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,2015-06-26,Miguel,0.696,0.834,No Feature,11,-5.359,107.994,7LP6AUTf4KD055DVxfBXOu,waves,0.279,7,18
7,0.169,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,2016-05-20,Ariana Grande,0.813,0.456,No Feature,1,-7.667,108.801,6f5TuB9WtbA1g49A4DcMQ4,Be Alright,0.587,8,18
8,0.0712,Trigga Reloaded,3pKTKC0AAe3yTcXQLzvpSW,2015-06-23,Trey Songz,0.688,0.536,Ty Dolla $ign,2,-8.144,94.047,5VzHb4qg6PTzTosl3ckZ84,Dead Wrong (feat. Ty Dolla $ign),0.296,9,18
9,0.674,Late Nights: The Album,7DMyQuDPe8xzjC0UDSDa96,2015-12-04,Jeremih,0.65,0.557,J. Cole,1,-7.762,129.285,08zJpaUQVi9FrKv2e32Bah,Planez,0.4,10,18
